,0,1,2,day,week
0,的    de,是    shì ,在    zài ,1,1
1,一    yī ,不    bù ,有    yǒu ,2,1
2,这    zhè ,个    gè ,上    shàng ,3,1
3,也    yě ,他    tā ,人    rén ,4,1
4,就    jiù ,对    duì ,说    shuō ,5,1
5,我    wǒ ,要    yào ,到    dào ,6,2
6,大    dà ,我们    wǒ  men,多    duō ,7,2
7,把    bǎ ,来    lái ,等    děng ,8,2
8,年    nián ,两    liǎng ,从    cóng ,9,2
9,而    ér ,能    néng ,又    yòu ,10,2
10,他们    tā  men,以    yǐ ,时    shí ,11,3
11,没有    méi  yǒu ,会    huì ,之    zhī ,12,3
12,但    dàn ,三    sān ,被    bèi ,13,3
13,很    hěn ,下    xià ,自己    zì  jǐ ,14,3
14,后    hòu ,中国    zhōng  guó ,并    bìng ,15,3
15,使    shǐ ,向    xiàng ,已    yǐ ,16,4
16,出    chū ,用    yòng ,新    xīn ,17,4
17,所    suǒ ,里    lǐ ,给    gěi ,18,4
18,她    tā ,更    gèng ,次    cì ,19,4
19,最    zuì ,于    yú ,可以    kě  yǐ ,20,4
20,可    kě ,去    qù ,由    yóu ,21,5
21,问题    wèn  tí ,小    xiǎo ,工作    gōng  zuò ,22,5
22,让    ràng ,其    qí ,你    nǐ ,23,5
23,这个    zhè  ge,生活    shēng  huó ,起    qǐ ,24,5
24,这样    zhè  yàng ,天    tiān ,它    tā ,25,5
25,高    gāo ,做    zuò ,家    jiā ,26,6
26,已经    yǐ  jing,再    zài ,或    huò ,27,6
27,才    cái ,前    qián ,走    zǒu ,28,6
28,这些    zhè  xiē ,一些    yī  xiē ,却    què ,29,6
29,二    èr ,条    tiáo ,位    wèi ,30,6
30,起来    qǐ  lái ,各    gè ,成    chéng ,31,7
31,什么    shén  me,元    yuán ,现在    xiàn  zài ,32,7
32,社会    shè  huì ,比    bǐ ,同    tóng ,33,7
33,四    sì ,关系    guān  xì ,名    míng ,34,7
34,想    xiǎng ,如    rú ,第一    dì  yī ,35,7
35,因为    yīn  wèi ,该    gāi ,开始    kāi  shǐ ,36,8
36,许多    xǔ  duō ,内    nèi ,时间    shí  jiān ,37,8
37,人们    rén  men,今天    jīn  tiān ,国家    guó  jiā ,38,8
38,本    běn ,点    diǎn ,思想    sī  xiǎng ,39,8
39,至    zhì ,此    cǐ ,一定    yī  dìng ,40,8
40,如果    rú  guǒ ,副    fù ,无    wú ,41,9
41,张    zhāng ,同时    tóng  shí ,需要    xū  yào ,42,9
42,月    yuè ,则    zé ,重要    zhòng  yào ,43,9
43,为了    wèi  le,日    rì ,老    lǎo ,44,9
44,就是    jiù  shì ,作    zuò ,五    wǔ ,45,9
45,人民    rén  mín ,事    shì ,认为    rèn  wéi ,46,10
46,成为    chéng  wéi ,像    xiàng ,北京    běi  jīng ,47,10
47,历史    lì  shǐ ,水    shuǐ ,方面    fāng  miàn ,48,10
48,情况    qíng  kuàng ,而且    ér  qiě ,党    dǎng ,49,10
49,学生    xué  shēng ,每    měi ,这里    zhè  lǐ ,50,10
50,但是    dàn  shì ,孩子    hái  zǐ ,可能    kě  néng ,51,11
51,发生    fā  shēng ,必须    bì  xū ,只有    zhǐ  yǒu ,52,11
52,外    wài ,要求    yāo  qiú ,全    quán ,53,11
53,发现    fā  xiàn ,进行    jìn  xíng ,特别    tè  bié ,54,11
54,因    yīn ,岁    suì ,得到    dé  dào ,55,11
55,件    jiàn ,文化    wén  huà ,分    fēn ,56,12
56,便    biàn ,同志    tóng  zhì ,发展    fā  zhǎn ,57,12
57,即    jí ,日本    rì  běn ,总    zǒng ,58,12
58,因此    yīn  cǐ ,对于    duì  yú ,领导    lǐng  dǎo ,59,12
59,带    dài ,既    jì ,时候    shí  hòu ,60,12
60,钱    qián ,自    zì ,政府    zhèng  fǔ ,61,13
61,吃    chī ,非    fēi ,决定    jué  dìng ,62,13
62,进    jìn ,还是    hái  shi,受    shòu ,63,13
63,国    guó ,应该    yīng  gāi ,近    jìn ,64,13
64,美    měi ,政治    zhèng  zhì ,话    huà ,65,13
65,公司    gōng  sī ,干部    gàn  bù ,出现    chū  xiàn ,66,14
66,开    kāi ,一切    yī  qiè ,研究    yán  jiū ,67,14
67,认识    rèn  shi,写    xiě ,十分    shí  fēn ,68,14
68,十    shí ,站    zhàn ,之间    zhī  jiān ,69,14
69,问    wèn ,希望    xī  wàng ,快    kuài ,70,14
70,虽然    suī  rán ,相    xiāng ,美国    měi  guó ,71,15
71,知道    zhī  dào ,讲    jiǎng ,大家    dà  jiā ,72,15
72,学校    xué  xiào ,组织    zǔ  zhī ,见    jiàn ,73,15
73,由于    yóu  yú ,正在    zhèng  zài ,法    fǎ ,74,15
74,表示    biǎo  shì ,一样    yī  yàng ,活动    huó  dòng ,75,15
75,如何    rú  hé ,教育    jiào  yù ,书    shū ,76,16
76,据    jù ,城市    chéng  shì ,道    dào ,77,16
77,艺术    yì  shù ,经济    jīng  jì ,以及    yǐ  jí ,78,16
78,部    bù ,影响    yǐng  xiǎng ,太    tài ,79,16
79,其中    qí  zhōng ,学    xué ,先生    xiān  shēng ,80,16
80,完全    wán  quán ,连    lián ,主要    zhǔ  yào ,81,17
81,继续    jì  xù ,头    tóu ,革命    gé  mìng ,82,17
82,之后    zhī  hòu ,参加    cān  jiā ,能够    néng  gòu ,83,17
83,住    zhù ,上海    shàng  hǎi ,经过    jīng  guò ,84,17
84,非常    fēi  cháng ,低    dī ,甚至    shèn  zhì ,85,17
85,听    tīng ,先    xiān ,一直    yī  zhí ,86,18
86,学习    xué  xí ,仍    réng ,办    bàn ,87,18
87,所以    suǒ  yǐ ,代表    dài  biǎo ,变    biàn ,88,18
88,最后    zuì  hòu ,一起    yī  qǐ ,万    wàn ,89,18
89,所有    suǒ  yǒu ,那么    nà  me,心    xīn ,90,18
90,越    yuè ,较    jiào ,办法    bàn  fǎ ,91,19
91,路    lù ,有些    yǒu  xiē ,未    wèi ,92,19
92,通过    tōng  guò ,找    zhǎo ,按    àn ,93,19
93,拿    ná ,解决    jiě  jué ,一般    yī  bān ,94,19
94,另    lìng ,经    jīng ,半    bàn ,95,19
95,强    qiáng ,或者    huò  zhě ,时代    shí  dài ,96,20
96,手    shǒu ,作品    zuò  pǐn ,不断    bù  duàn ,97,20
97,以后    yǐ  hòu ,关于    guān  yú ,青年    qīng  nián ,98,20
98,各种    gè  zhǒng ,真    zhēn ,其他    qí  tā ,99,20
99,农民    nóng  mín ,那些    nà  xiē ,余    yú ,100,20
100,段    duàn ,有的    yǒu  de,买    mǎi ,101,21
101,根本    gēn  běn ,县    xiàn ,作者    zuò  zhě ,102,21
102,者    zhě ,请    qǐng ,叫    jiào ,103,21
103,感到    gǎn  dào ,怎么    zěn  me,任何    rèn  hé ,104,21
104,六    liù ,表现    biǎo  xiàn ,反    fǎn ,105,21
105,存在    cún  zài ,然而    rán  ér ,准备    zhǔn  bèi ,106,22
106,送    sòng ,约    yuē ,比较    bǐ  jiào ,107,22
107,书记    shū  jì ,爱    ài ,单位    dān  wèi ,108,22
108,群众    qún  zhòng ,应当    yīng  dāng ,王    wáng ,109,22
109,早    zǎo ,女    nv3,门    mén ,110,22
110,个人    gè  rén ,座    zuò ,全国    quán  guó ,111,23
111,意义    yì  yì ,花    huā ,条件    tiáo  jiàn ,112,23
112,环境    huán  jìng ,了解    liǎo  jiě ,搞    gǎo ,113,23
113,力量    lì  liang,不仅    bù  jǐn ,目前    mù  qián ,114,23
114,经验    jīng  yàn ,产生    chǎn  shēng ,真正    zhēn  zhèng ,115,23
115,回    huí ,队    duì ,有关    yǒu  guān ,116,24
116,字    zì ,会议    huì  yì ,生命    shēng  mìng ,117,24
117,今年    jīn  nián ,努力    nǔ  lì ,靠    kào ,118,24
118,八    bā ,市    shì ,类    lèi ,119,24
119,共    gòng ,意见    yì  jiàn ,死    sǐ ,120,24
120,民族    mín  zú ,块    kuài ,只要    zhǐ  yào ,121,25
121,文学    wén  xué ,成功    chéng  gōng ,变化    biàn  huà ,122,25
122,句    jù ,管    guǎn ,你们    nǐ  men,123,25
123,指    zhǐ ,地区    dì  qū ,方    fāng ,124,25
124,和    hé ,项    xiàng ,注意    zhù  yì ,125,25
125,当然    dāng  rán ,达    dá ,面    miàn ,126,26
126,坐    zuò ,家庭    jiā  tíng ,原因    yuán  yīn ,127,26
127,进入    jìn  rù ,病    bìng ,介绍    jiè  shào ,128,26
128,下来    xià  lái ,事情    shì  qing,方式    fāng  shì ,129,26
129,首    shǒu ,计划    jì  huà ,人类    rén  lèi ,130,26
130,报告    bào  gào ,世纪    shì  jì ,方法    fāng  fǎ ,131,27
131,入    rù ,信    xìn ,化    huà ,132,27
132,步    bù ,生    shēng ,声    shēng ,133,27
133,图    tú ,电话    diàn  huà ,能力    néng  lì ,134,27
134,片    piàn ,作用    zuò  yòng ,台    tái ,135,27
135,如此    rú  cǐ ,困难    kùn  nan,多少    duō  shǎo ,136,28
136,打    dǎ ,为什么    wèi  shén  me,随着    suí  zhe,137,28
137,谈    tán ,支    zhī ,村    cūn ,138,28
138,米    mǐ ,农村    nóng  cūn ,具有    jù  yǒu ,139,28
139,现代    xiàn  dài ,全部    quán  bù ,运动    yùn  dòng ,140,28
140,原    yuán ,内容    nèi  róng ,帮助    bāng  zhù ,141,29
141,文艺    wén  yì ,放    fàng ,主任    zhǔ  rèn ,142,29
142,别    bié ,事业    shì  yè ,汽车    qì  chē ,143,29
143,李    lǐ ,技术    jì  shù ,中央    zhōng  yāng ,144,29
144,口    kǒu ,跟    gēn ,极    jí ,145,29
145,记者    jì  zhě ,只是    zhǐ  shì ,报    bào ,146,30
146,人员    rén  yuán ,以来    yǐ  lái ,边    biān ,147,30
147,觉得    jué  de,您    nín ,双    shuāng ,148,30
148,左右    zuǒ  yòu ,建设    jiàn  shè ,利用    lì  yòng ,149,30
149,称    chēng ,怎样    zěn  yàng ,行为    xíng  wéi ,150,30
150,于是    yú  shì ,朋友    péng  yǒu ,正是    zhèng  shì ,151,31
151,受到    shòu  dào ,人物    rén  wù ,深    shēn ,152,31
152,接受    jiē  shòu ,来到    lái  dào ,百    bǎi ,153,31
153,这么    zhè  me,山    shān ,电    diàn ,154,31
154,发表    fā  biǎo ,些    xiē ,原来    yuán  lái ,155,31
155,生产    shēng  chǎn ,往    wǎng ,大学    dà  xué ,156,32
156,认真    rèn  zhēn ,过程    guò  chéng ,有人    yǒu  rén ,157,32
157,风    fēng ,创造    chuàng  zào ,抓    zhuā ,158,32
158,增加    zēng  jiā ,不过    bù  guò ,以上    yǐ  shàng ,159,32
159,七    qī ,它们    tā  men,南    nán ,160,32
160,无法    wú  fǎ ,时期    shí  qī ,更加    gèng  jiā ,161,33
161,传统    chuán  tǒng ,支持    zhī  chí ,根据    gēn  jù ,162,33
162,市场    shì  chǎng ,包括    bāo  kuò ,直接    zhí  jiē ,163,33
163,份    fèn ,机会    jī  huì ,政策    zhèng  cè ,164,33
164,科学    kē  xué ,几乎    jī  hū ,提高    tí  gāo ,165,33
165,批    pī ,金    jīn ,坚持    jiān  chí ,166,34
166,可是    kě  shì ,实际    shí  jì ,完成    wán  chéng ,167,34
167,引起    yǐn  qǐ ,代    dài ,责任    zé  rèn ,168,34
168,后来    hòu  lái ,劳动    láo  dòng ,任务    rèn  wu,169,34
169,知识    zhī  shi,周    zhōu ,部队    bù  duì ,170,34
170,底    dǐ ,部分    bù  fen,母亲    mǔ  qīn ,171,35
171,首先    shǒu  xiān ,期    qī ,保护    bǎo  hù ,172,35
172,理论    lǐ  lùn ,形式    xíng  shì ,医院    yī  yuàn ,173,35
173,不可    bù  kě ,云    yún ,行动    xíng  dòng ,174,35
174,仍然    réng  rán ,处理    chǔ  lǐ ,远    yuǎn ,175,35
175,去年    qù  nián ,形成    xíng  chéng ,跑    pǎo ,176,36
176,改变    gǎi  biàn ,那样    nà  yàng ,香港    xiāng  gǎng ,177,36
177,相信    xiāng  xìn ,九    jiǔ ,中    zhōng ,178,36
178,老师    lǎo  shī ,新闻    xīn  wén ,红    hóng ,179,36
179,仅    jǐn ,地位    dì  wèi ,除了    chú  le,180,36
180,企业    qǐ  yè ,刚    gāng ,加    jiā ,181,37
181,终于    zhōng  yú ,主席    zhǔ  xí ,严重    yán  zhòng ,182,37
182,容易    róng  yì ,法律    fǎ  lv4,建立    jiàn  lì ,183,37
183,还    hái ,其实    qí  shí ,服务    fú  wù ,184,37
184,意识    yì  shí ,自由    zì  yóu ,实现    shí  xiàn ,185,37
185,着    zhe,那    nà ,光    guāng ,186,38
186,达到    dá  dào ,然后    rán  hòu ,战争    zhàn  zhēng ,187,38
187,态度    tài  du,改革    gǎi  gé ,不是    bù  shì ,188,38
188,现实    xiàn  shí ,种    zhǒng ,说明    shuō  míng ,189,38
189,使用    shǐ  yòng ,初    chū ,回答    huí  dá ,190,38
190,马    mǎ ,共同    gòng  tóng ,卖    mài ,191,39
191,规定    guī  dìng ,一下    yī  xià ,管理    guǎn  lǐ ,192,39
192,越来越    yuè  lái  yuè ,如今    rú  jīn ,社会主义    shè  huì  zhǔ  yì ,193,39
193,年代    nián  dài ,变成    biàn  chéng ,中心    zhōng  xīn ,194,39
194,北    běi ,东    dōng ,父亲    fù  qīn ,195,39
195,国际    guó  jì ,高兴    gāo  xìng ,理解    lǐ  jiě ,196,40
196,保持    bǎo  chí ,了    le,当    dāng ,197,40
197,选择    xuǎn  zé ,某    mǒu ,心理    xīn  lǐ ,198,40
198,尽管    jǐn  guǎn ,气    qì ,且    qiě ,199,40
199,斗争    dòu  zhēng ,反对    fǎn  duì ,创作    chuàng  zuò ,200,40
200,虽    suī ,造成    zào  chéng ,是否    shì  fǒu ,201,41
201,下去    xià  qù ,总是    zǒng  shì ,派    pài ,202,41
202,获得    huò  dé ,联系    lián  xì ,之一    zhī  yī ,203,41
203,也是    yě  shì ,城    chéng ,所谓    suǒ  wèi ,204,41
204,安排    ān  pái ,目的    mù  dì ,伟大    wěi  dà ,205,41
205,工人    gōng  rén ,制度    zhì  dù ,精神    jīng  shén ,206,42
206,小时    xiǎo  shí ,似乎    sì  hū ,篇    piān ,207,42
207,制    zhì ,没    méi ,下午    xià  wǔ ,208,42
208,算    suàn ,乱    luàn ,谁    shéi ,209,42
209,黑    hēi ,尤其    yóu  qí ,老人    lǎo  rén ,210,42
210,部门    bù  mén ,儿    ér ,水平    shuǐ  píng ,211,43
211,按照    àn  zhào ,机关    jī  guān ,心里    xīn  lǐ ,212,43
212,民    mín ,离开    lí  kāi ,身体    shēn  tǐ ,213,43
213,层    céng ,笑    xiào ,吗    ma,214,43
214,面前    miàn  qián ,基础    jī  chǔ ,树    shù ,215,43
215,别人    bié  ren,海    hǎi ,常    cháng ,216,44
216,以前    yǐ  qián ,军    jūn ,读    dú ,217,44
217,性    xìng ,价值    jià  zhí ,套    tào ,218,44
218,干    gàn ,结束    jié  shù ,妇女    fù  nv3,219,44
219,教授    jiào  shòu ,军事    jūn  shì ,基本    jī  běn ,220,44
220,儿子    ér  zi,西    xī ,除    chú ,221,45
221,区    qū ,改    gǎi ,并且    bìng  qiě ,222,45
222,那里    nà  li,均    jūn ,画    huà ,223,45
223,建    jiàn ,满    mǎn ,统一    tǒng  yī ,224,45
224,重新    chóng  xīn ,方向    fāng  xiàng ,活    huó ,225,45
225,子    zǐ ,往往    wǎng  wǎng ,考虑    kǎo  lv4,226,46
226,重大    zhòng  dà ,收    shōu ,旧    jiù ,227,46
227,之中    zhī  zhōng ,人才    rén  cái ,总统    zǒng  tǒng ,228,46
228,感觉    gǎn  jué ,清    qīng ,具体    jù  tǐ ,229,46
229,式    shì ,文章    wén  zhāng ,现象    xiàn  xiàng ,230,46
230,立即    lì  jí ,材料    cái  liào ,不得    bù  dé ,231,47
231,定    dìng ,证明    zhèng  míng ,热    rè ,232,47
232,年轻;年青    nián  qīng ,接    jiē ,事实    shì  shí ,233,47
233,白    bái ,分别    fēn  bié ,矛盾    máo  dùn ,234,47
234,不再    bù  zài ,积极    jī  jí ,语言    yǔ  yán ,235,47
235,千    qiān ,巨大    jù  dà ,节    jié ,236,48
236,安全    ān  quán ,提供    tí  gōng ,讨论    tǎo  lùn ,237,48
237,取得    qǔ  dé ,始终    shǐ  zhōng ,程度    chéng  dù ,238,48
238,留    liú ,分析    fēn  xī ,消息    xiāo  xī ,239,48
239,检查    jiǎn  chá ,宣传    xuān  chuán ,世界    shì  jiè ,240,48
240,相当    xiāng  dāng ,好    hǎo ,英国    yīng  guó ,241,49
241,合作    hé  zuò ,发出    fā  chū ,电影    diàn  yǐng ,242,49
242,另外    lìng  wài ,身上    shēn  shang,线    xiàn ,243,49
243,肯定    kěn  dìng ,举行    jǔ  xíng ,目标    mù  biāo ,244,49
244,反映    fǎn  yìng ,量    liáng ,笔    bǐ ,245,49
245,医生    yī  shēng ,成立    chéng  lì ,交    jiāo ,246,50
246,充分    chōng  fèn ,林    lín ,突然    tū  rán ,247,50
247,工程    gōng  chéng ,户    hù ,一边    yī  biān ,248,50
248,永远    yǒng  yuǎn ,标准    biāo  zhǔn ,原则    yuán  zé ,249,50
249,同样    tóng  yàng ,控制    kòng  zhì ,队伍    duì  wu,250,50
